[07/15/21 13:51:03] [INFO] received Windows console close event; shutting log-core down
[07/15/21 13:54:05] [INFO] received Windows console close event; shutting log-core down
[07/15/21 13:58:14] [INFO] received Windows console close event; shutting log-core down
[07/15/21 14:00:32] [INFO] received Windows console close event; shutting log-core down
[07/15/21 14:01:14] [INFO] received Windows console close event; shutting log-core down
[07/15/21 14:19:15] [INFO] received Windows console close event; shutting log-core down
[07/15/21 14:21:52] [INFO] received Windows console close event; shutting log-core down
[07/15/21 14:23:19] [INFO] received Windows console close event; shutting log-core down
[07/15/21 14:41:02] [INFO] received Windows console close event; shutting log-core down
[07/15/21 14:49:21] [INFO] received Windows console close event; shutting log-core down
[07/15/21 14:50:04] [INFO] received Windows console close event; shutting log-core down
[07/15/21 14:59:31] [INFO] received Windows console close event; shutting log-core down
[07/15/21 15:25:58] [INFO] received Windows console close event; shutting log-core down
[07/15/21 15:27:44] [INFO] received Windows console close event; shutting log-core down
[07/15/21 15:30:36] [INFO] received Windows console close event; shutting log-core down
[07/15/21 15:48:10] [INFO] received Windows console close event; shutting log-core down
[07/15/21 17:14:58] [INFO] received Windows console close event; shutting log-core down
[07/15/21 17:38:07] [INFO] received Windows console close event; shutting log-core down
[07/15/21 18:04:40] [INFO] received Windows console close event; shutting log-core down
[07/15/21 18:23:18] [INFO] received Windows console close event; shutting log-core down
[07/15/21 19:17:01] [INFO] received Windows console close event; shutting log-core down
[07/15/21 22:43:23] [INFO] received Windows console close event; shutting log-core down
